language,IMAGE,TEXT,SOUND,VIDEO,3D
de,2729318,1731125,28560,7539,13743
nl,3231126,365145,4310,6265,0
mul,1019620,817270,351023,45834,456
es,517132,2252343,2979,11200,216
en,2205019,523269,4466,5169,182
it,1942620,655226,31914,27589,383
sv,1567744,1542649,405,4700,0
no,1658447,2807,653,1326,86
pl,285783,1452410,331,2221,35
da,426527,321905,2,4957,0
hu,343867,247428,446,5799,97
cs,209764,13674,0,154815,0
el,118893,153883,881,4676,376
et,229196,48553,16014,5453,0
pt,166197,68046,479,367,0
sl,113355,121067,163,3136,285
fi,101333,42774,494,699,0
lv,61667,69775,0,105,0
ca,200047,1607,0,105,334
lt,90373,28660,0,12,0
sk,92066,2435,0,0,0
bg,32534,12136,13738,8,0
swe,0,0,0,0,0
ru,44217,15823,29,6,0
ro,60993,8433,140,3882,60
sr,2400,51041,599,0,0
tr,0,47275,0,0,0
hr,5147,6769,3,6,138
mt,7218,0,0,0,0
yi,0,6789,0,0,0
is,4018,80,0,0,0
ga,1,6,10,13,0
uk,2,23,0,0,0
fr,2020397,1834767,23766,111759,221
